,PMID,Observational_study_characteristics
2446,30862763,follow-up studies
2447,30862763,retrospective
2449,31023276,retrospective studies
2450,31023276,follow-up studies
2451,31023276,retrospective
2452,31023276,prospective
2453,30132285,case-control studies
2454,30132285,cross-sectional studies
2455,30132285,case-control
2456,30132285,cross-sectional
2457,30049435,retrospective studies
2458,30049435,retrospective
2459,30696370,cross-sectional studies
2460,30696370,cross-sectional
2461,31622299,retrospective studies
2462,31622299,retrospective
2464,29352286,retrospective
2465,30767621,case-control studies
2466,30767621,case-control
2467,29649988,prospective studies
2468,29649988,prospective
2469,30119792,prospective studies
2470,30119792,cross-sectional studies
2471,30119792,prospective
2472,30119792,cross-sectional
2473,31285569,retrospective studies
2474,31285569,follow-up studies
2475,31285569,retrospective
2478,30483883,retrospective studies
2479,30483883,retrospective
2482,29183262,prospective
2486,31933295,retrospective studies
2487,31933295,retrospective
2492,29788090,case-control studies
2493,29788090,retrospective studies
2494,29788090,longitudinal studies
2495,29788090,case-control
2496,29788090,retrospective
2497,29788090,cohort
2498,29788090,longitudinal
2500,30092670,longitudinal
2501,30783963,follow-up studies
2502,30690623,cross-sectional studies
2503,30690623,cross-sectional
2504,27659020,retrospective studies
2505,27659020,retrospective
2506,31628340,retrospective studies
2507,31628340,retrospective
2508,29032778,prospective studies
2509,29032778,prospective
2512,31081102,follow-up studies
2513,30621642,retrospective
2514,31347001,retrospective studies
2515,31347001,retrospective
2516,31412229,retrospective studies
2517,31412229,retrospective
2518,31696306,cohort
2519,30446693,cohort
2521,30710486,follow-up studies
2522,30710486,cross-sectional studies
2523,30710486,cross-sectional
2525,29650691,prospective studies
2526,29650691,prospective
2530,30515705,cross-sectional studies
2531,30515705,cross-sectional
2534,30865530,cross-sectional studies
2535,30865530,cross-sectional
2536,31565879,retrospective studies
2537,31565879,retrospective
2538,31233522,retrospective studies
2539,31233522,retrospective
2540,30667296,follow-up studies
2541,30667296,cohort
2542,30392997,retrospective studies
2543,30392997,retrospective
2544,31677639,follow-up studies
2545,31065775,prospective
2546,31860407,prospective studies
2547,31860407,prospective
2549,29768627,case-control studies
2550,29768627,case-control
2552,29198022,case-control studies
2553,29198022,case-control
2555,30834273,prospective
2556,29722836,cross-sectional studies
2557,29722836,cross-sectional
2558,30593716,follow-up studies
2559,30593716,prospective studies
2560,30593716,cross-sectional studies
2561,30593716,prospective
2562,30593716,cross-sectional
2567,30701793,case-control studies
2568,30701793,case-control
2569,29446011,cross-sectional studies
2570,29446011,cross-sectional
2572,29915201,case-control studies
2573,29915201,case-control
2574,29946800,retrospective studies
2575,29946800,retrospective
2578,29940879,cross-sectional studies
2579,29940879,cross-sectional
2580,29334119,retrospective studies
2581,29334119,prospective studies
2582,29334119,retrospective
2583,29334119,prospective
2584,30844912,retrospective studies
2585,30844912,retrospective
2588,29556769,retrospective studies
2589,29556769,retrospective
2590,31192565,cross-sectional studies
2591,31192565,cross-sectional
2592,30219088,prospective studies
2593,30219088,prospective
2597,30885146,prospective studies
2598,30885146,prospective
2600,29026936,follow-up studies
2601,29026936,prospective studies
2602,29026936,prospective
2604,30572375,cohort studies
2605,30572375,cohort
2607,29764405,cross-sectional studies
2608,29764405,cross-sectional
2609,29319381,retrospective studies
2610,29319381,cohort studies
2611,29319381,retrospective
2612,29319381,cohort
2628,30746700,cohort studies
2629,30746700,cohort
2630,30746700,prospective
2631,31785218,retrospective studies
2632,31785218,cohort studies
2633,31785218,retrospective
2634,31785218,cohort
2636,30413358,retrospective studies
2637,30413358,retrospective
2638,29108701,prospective studies
2639,29108701,cohort
2640,29108701,prospective
2641,31670633,prospective
2643,29878256,retrospective studies
2644,29878256,retrospective
2645,29878256,cohort
2646,30048166,retrospective studies
2647,30048166,retrospective
2648,30048166,cohort
2650,29096966,prospective studies
2651,29096966,prospective
2652,30426886,retrospective studies
2653,30426886,retrospective
2654,29633307,prospective studies
2655,29633307,cohort
2656,29633307,prospective
2657,29023978,retrospective
2658,29023978,cohort
2659,31369161,prospective
2661,31079052,retrospective studies
2662,31079052,retrospective
2663,31079052,cohort
2665,30628510,cross-sectional studies
2666,30628510,cross-sectional
2668,29959506,cross-sectional studies
2669,29959506,cross-sectional
2670,29388175,case-control studies
2671,29388175,follow-up studies
2672,29388175,case-control
2673,28738723,follow-up studies
2680,30401900,retrospective studies
2681,30401900,retrospective
2682,29517594,retrospective studies
2683,29517594,retrospective
2688,30918165,retrospective studies
2689,30918165,follow-up studies
2690,30918165,retrospective
2692,30725065,cohort studies
2693,30725065,cohort
2696,30075294,retrospective studies
2697,30075294,retrospective
2698,30075294,cohort
2703,30167837,prospective studies
2704,30167837,prospective
2705,29613968,retrospective studies
2706,29613968,retrospective
2707,29613968,cohort
2708,29613968,prospective
2709,29391576,retrospective studies
2710,29391576,retrospective
2711,31499558,retrospective studies
2712,31499558,follow-up studies
2713,31499558,retrospective
2718,29465482,prospective studies
2719,29465482,prospective
2720,30442552,retrospective studies
2721,30442552,retrospective
2722,30442552,cohort
2723,32476690,case-control studies
2725,32476690,case-control
2726,30223781,case-control studies
2727,30223781,case-control
2729,31091281,case-control studies
2730,31091281,case-control
2733,31474503,retrospective studies
2734,31474503,prospective studies
2735,31474503,retrospective
2736,31474503,prospective
2742,30142011,prospective studies
2743,30142011,prospective
2744,29937157,case-control studies
2745,29937157,prospective studies
2746,29937157,case-control
2747,29937157,prospective
2748,31056988,retrospective studies
2749,31056988,cohort studies
2750,31056988,follow-up studies
2751,31056988,retrospective
2752,31056988,cohort
2754,29641730,retrospective studies
2755,29641730,retrospective
2756,30941511,retrospective studies
2757,30941511,retrospective
2758,30726403,prospective studies
2759,30726403,prospective
2760,30664931,retrospective studies
2761,30664931,retrospective
2763,30971526,retrospective studies
2764,30971526,retrospective
2766,31365979,cross-sectional studies
2767,31365979,cross-sectional
2770,29985836,retrospective studies
2771,29985836,follow-up studies
2772,29985836,retrospective
2773,29985836,cohort
2774,29319400,retrospective studies
2775,29319400,retrospective
2776,29166180,retrospective studies
2777,29166180,follow-up studies
2778,29166180,retrospective
2781,30535759,case-control studies
2782,30535759,follow-up studies
2783,30535759,case-control
2784,30513237,retrospective studies
2785,30513237,retrospective
2787,29190000,case-control studies
2788,29190000,follow-up studies
2789,29190000,case-control
2790,30937820,retrospective studies
2791,30937820,retrospective
2793,30801749,cohort studies
2794,30801749,cohort
2795,30801749,prospective
2796,30176063,case-control studies
2797,30176063,case-control
2798,30176063,cohort
2799,29336220,cross-sectional studies
2800,29336220,cross-sectional
2805,31884304,retrospective studies
2806,31884304,follow-up studies
2807,31884304,retrospective
2811,31685507,case-control studies
2812,31685507,longitudinal studies
2813,31685507,case-control
2814,31685507,longitudinal
2815,31338585,follow-up studies
2816,31338585,prospective studies
2817,31338585,prospective
2819,30517711,follow-up studies
2820,30517711,prospective studies
2821,30517711,cross-sectional studies
2822,30517711,prospective
2823,30517711,cross-sectional
2824,31462328,retrospective studies
2825,31462328,retrospective
2826,31462328,cohort
2829,30234838,retrospective studies
2830,30234838,follow-up studies
2831,30234838,retrospective
2832,29742012,retrospective studies
2833,29742012,retrospective
2839,31482765,longitudinal studies
2840,31482765,cohort
2841,31482765,longitudinal
2844,31057005,retrospective studies
2845,31057005,retrospective
2846,31057005,cross-sectional
2850,29992164,case-control studies
2851,29992164,case-control
2852,29439614,cohort
2854,29505466,cross-sectional studies
2855,29505466,cohort
2856,29505466,cross-sectional
2857,29426438,retrospective studies
2858,29426438,follow-up studies
2859,29426438,retrospective
2860,28944477,retrospective studies
2861,28944477,follow-up studies
2862,28944477,retrospective
2868,29784035,retrospective studies
2869,29784035,retrospective
2870,29784035,cohort
2871,29648895,case-control studies
2872,29648895,case-control
2874,31083231,follow-up studies
2875,31025590,retrospective studies
2876,31025590,follow-up studies
2877,31025590,retrospective
2878,30653159,retrospective studies
2879,30653159,retrospective
2881,30229982,retrospective studies
2882,30229982,retrospective
2883,29559498,retrospective studies
2884,29559498,retrospective
2889,30173330,retrospective studies
2890,30173330,retrospective
2891,30173330,cohort
2896,30912336,follow-up studies
2898,31391354,retrospective studies
2899,31391354,retrospective
2903,31344455,retrospective studies
2904,31344455,retrospective
2905,31344455,cross-sectional
2907,31146635,cross-sectional studies
2908,31146635,cross-sectional
2910,31636036,cohort
2911,29923962,follow-up studies
2912,29923962,prospective studies
2913,29923962,prospective
2915,31634179,follow-up studies
2916,31634179,prospective studies
2917,31634179,prospective
2919,30235492,longitudinal studies
2920,30235492,longitudinal
2921,30170970,retrospective studies
2922,30170970,retrospective
2926,29996609,retrospective studies
2927,29996609,retrospective
2928,31021263,cross-sectional studies
2929,31021263,cross-sectional
2930,30690696,retrospective studies
2931,30690696,retrospective
2938,30220185,cross-sectional studies
2939,30220185,cross-sectional
2940,29996608,retrospective studies
2941,29996608,retrospective
2943,29890310,case-control studies
2944,29890310,case-control
2947,29027055,cross-sectional studies
2948,29027055,cross-sectional
2950,31710438,prospective studies
2951,31710438,prospective
2954,31742747,retrospective studies
2955,31742747,retrospective
2960,31460819,retrospective studies
2961,31460819,retrospective
2963,29510406,case-control studies
2964,29510406,case-control
2969,29310665,retrospective
2971,30827829,case-control studies
2972,30827829,retrospective studies
2973,30827829,follow-up studies
2974,30827829,case-control
2975,30827829,retrospective
2976,30827829,cohort
